日期,最高温,最低温,天气,风向,风力
2023/1/1,9,-1,多云,东北风,1级
2023/1/2,3,-1,小雨,东南风,1级
2023/1/3,2,-2,大雪,西北风,1级
2023/1/4,-2,-6,小雪,东风,1级
2023/1/5,-3,-4,多云,东北风,1级
2023/1/6,-1,-4,中雪,西南风,微风
2023/1/7,1,-5,阴,东风,1级
2023/1/8,-1,-6,晴,北风,微风
2023/1/9,3,-7,晴,西北风,微风
2023/1/10,6,-6,晴,西北风,1级
2023/1/11,6,-7,晴,东风,微风
2023/1/12,5,-5,多云,西北风,1级
2023/1/13,5,-5,阴,西北风,1级
2023/1/14,6,-4,晴,东北风,1级
2023/1/15,5,-3,多云,北风,微风
2023/1/16,8,-2,晴,北风,微风
2023/1/17,5,-3,多云,北风,微风
2023/1/18,4,-3,阴,西南风,1级
2023/1/19,7,-3,多云,西北风,微风
2023/1/20,8,-2,阴,西风,微风
2023/1/21,10,-2,多云,北风,1级
2023/1/22,8,-1,晴,西北风,微风
2023/1/23,3,-3,多云,西北风,1级
2023/1/24,1,-3,中雪,西南风,1级
2023/1/25,-3,-8,小雪,西北风,1级
2023/1/26,-3,-7,多云,西南风,1级
2023/1/27,-3,-7,小雪,北风,1级
2023/1/28,1,-8,阴,南风,2级
2023/1/29,-1,-9,多云,南风,1级
2023/1/30,0,-6,多云,东风,1级
2023/1/31,3,-5,晴,西北风,1级
2023/2/1,4,-5,多云,南风,1级
2023/2/2,2,-5,多云,东南风,1级
2023/2/3,2,-7,晴,北风,1级
2023/2/4,4,-6,晴,北风,1级
2023/2/5,6,-6,晴,西北风,微风
2023/2/6,8,-4,晴,西北风,1级
2023/2/7,6,-5,阴,西南风,1级
2023/2/8,6,-4,阴,东南风,1级
2023/2/9,5,-3,阴,东北风,微风
2023/2/10,6,-3,晴,南风,1级
2023/2/11,7,-5,晴,东北风,1级
2023/2/12,8,-3,晴,南风,1级
2023/2/13,9,-2,多云,东南风,微风
2023/2/14,8,0,多云,西南风,1级
2023/2/15,9,-1,多云,北风,1级
2023/2/16,11,1,多云,西北风,1级
2023/2/17,5,1,小雨,东南风,1级
2023/2/18,9,1,阴,西北风,1级
2023/2/19,12,1,多云,北风,1级
2023/2/20,9,1,小雨,西北风,1级
2023/2/21,9,0,晴,南风,2级
2023/2/22,13,0,晴,西南风,微风
2023/2/23,16,0,多云,东南风,1级
2023/2/24,16,2,多云,北风,微风
2023/2/25,16,2,晴,北风,微风
2023/2/26,16,3,阴,北风,1级
2023/2/27,15,6,阴,西北风,1级
2023/2/28,20,5,晴,东风,1级
2023/3/1,16,4,多云,东南风,1级
2023/3/2,17,3,多云,西南风,微风
2023/3/3,20,7,晴,北风,微风
2023/3/4,14,4,小雨,西南风,1级
2023/3/5,15,4,阴,西北风,1级
2023/3/6,8,3,小雨,东南风,1级
2023/3/7,12,0,阴,北风,微风
2023/3/8,15,1,晴,东南风,1级
2023/3/9,16,4,晴,北风,微风
2023/3/10,19,7,多云,西北风,微风
2023/3/11,20,6,晴,北风,3级
2023/3/12,23,6,晴,北风,微风
2023/3/13,24,6,多云,北风,微风
2023/3/14,25,8,晴,东北风,微风
2023/3/15,23,10,晴,西北风,1级
2023/3/16,17,6,阴,西南风,2级
2023/3/17,8,5,小雨,北风,1级
2023/3/18,7,5,阴,西北风,1级
2023/3/19,15,6,阴,西风,微风
2023/3/20,14,4,多云,北风,微风
2023/3/21,19,4,晴,南风,1级
2023/3/22,22,5,晴,北风,1级
2023/3/23,23,9,多云,北风,1级
2023/3/24,23,9,多云,北风,微风
2023/3/25,22,11,多云,北风,微风
2023/3/26,25,10,多云,南风,2级
2023/3/27,29,12,多云,东南风,1级
2023/3/28,30,13,多云,南风,微风
2023/3/29,28,14,多云,南风,2级
2023/3/30,27,12,多云,南风,1级
2023/3/31,26,14,阴,南风,1级
2023/4/1,30,11,晴,东北风,微风
2023/4/2,31,13,晴,北风,微风
2023/4/3,31,12,晴,东北风,1级
2023/4/4,23,9,多云,北风,2级
2023/4/5,20,7,多云,西南风,1级
2023/4/6,16,2,晴,东风,微风
2023/4/7,21,5,晴,南风,微风
2023/4/8,29,7,晴,东北风,微风
2023/4/9,29,13,晴,南风,2级
2023/4/10,30,10,多云,东风,微风
